folder                       dim  degree  refinements  shy  smoothing  threshold  gmg_iterations  gmg_solve_time  smoother_sweep_time  amg_iterations  amg_solve_time
2D_p1_ref8_shy2_smo2_th0.25  2    1       8            2    2          0.25       13              10.0804         0.346719             16              1.52341       
2D_p1_ref8_shy2_smo2_th0.5   2    1       8            2    2          0.5        13              10.1292         0.353979             16              1.52395       
2D_p1_ref8_shy2_smo2_th0.75  2    1       8            2    2          0.75       13              10.1435         0.336022             16              1.55639       
2D_p1_ref8_shy2_smo2_th1.    2    1       8            2    2          1.         11              8.77408         0.324904             17              1.64822       
2D_p1_ref8_shy2_smo3_th0.25  2    1       8            2    3          0.25       13              10.2737         0.364627             16              1.5649        
2D_p1_ref8_shy2_smo3_th0.5   2    1       8            2    3          0.5        13              10.2583         0.336862             16              1.53131       
2D_p1_ref8_shy2_smo3_th0.75  2    1       8            2    3          0.75       13              10.2461         0.354576             16              1.5497        
2D_p1_ref8_shy2_smo3_th1.    2    1       8            2    3          1.         11              8.75263         0.333412             17              1.65891       
2D_p1_ref8_shy3_smo1_th0.25  2    1       8            3    1          0.25       13              10.0098         0.326419             16              1.52478       
2D_p1_ref8_shy3_smo1_th0.5   2    1       8            3    1          0.5        13              9.97704         0.351921             16              1.55105       
2D_p1_ref8_shy3_smo1_th0.75  2    1       8            3    1          0.75       13              10.017          0.328579             16              1.54807       
2D_p1_ref8_shy3_smo1_th1.    2    1       8            3    1          1.         11              8.6496          0.3452               17              1.66814       
2D_p1_ref8_shy3_smo2_th0.25  2    1       8            3    2          0.25       13              10.039          0.344319             16              1.55515       
2D_p1_ref8_shy3_smo2_th0.5   2    1       8            3    2          0.5        13              10.0625         0.346757             16              1.54123       
2D_p1_ref8_shy3_smo2_th0.75  2    1       8            3    2          0.75       13              10.0791         0.321309             16              1.53588       
2D_p1_ref8_shy3_smo2_th1.    2    1       8            3    2          1.         11              8.76221         0.324574             17              1.65272       
2D_p1_ref8_shy3_smo3_th0.25  2    1       8            3    3          0.25       13              10.109          0.358036             16              1.55068       
2D_p1_ref8_shy3_smo3_th0.5   2    1       8            3    3          0.5        13              10.1709         0.330877             16              1.54809       
2D_p1_ref8_shy3_smo3_th0.75  2    1       8            3    3          0.75       13              10.1284         0.348456             16              1.56568       
2D_p1_ref8_shy3_smo3_th1.    2    1       8            3    3          1.         11              8.76483         0.322813             17              1.66811       
